timestamp,lat,lon,confidence,city
3.12,23.16155397,72.81417098,0.6489311456680298,Unknown location
3.16,23.16155397,72.81417098,0.6329294443130493,Unknown location
3.16,23.16155397,72.81417098,0.5890620946884155,Unknown location
3.2,23.16155397,72.81417098,0.6492461562156677,Unknown location
3.2,23.16155397,72.81417098,0.647798478603363,Unknown location
3.24,23.16155397,72.81417098,0.5669569373130798,Unknown location
3.28,23.16155397,72.81417098,0.6551984548568726,Unknown location
3.28,23.16155397,72.81417098,0.5863432884216309,Unknown location
3.32,23.16155397,72.81417098,0.6927067041397095,Unknown location
3.32,23.16155397,72.81417098,0.628554105758667,Unknown location
3.36,23.16155397,72.81417098,0.678228497505188,Unknown location
3.36,23.16155397,72.81417098,0.5522045493125916,Unknown location
3.4,23.16155397,72.81417098,0.726664125919342,Unknown location
3.4,23.16155397,72.81417098,0.6171508431434631,Unknown location
3.44,23.16155397,72.81417098,0.6752721667289734,Unknown location
3.44,23.16155397,72.81417098,0.6109311580657959,Unknown location
3.48,23.16155397,72.81417098,0.7537817358970642,Unknown location
